iter	Passed	Remaining
0	147	146899
1	147	73734
2	148	49305
3	148	37098
4	149	29760
5	150	24873
6	150	21377
7	151	18754
8	151	16712
9	152	15085
10	152	13747
11	153	12631
12	153	11677
13	154	10866
14	154	10163
15	155	9550
16	155	9005
17	156	8526
18	156	8096
19	157	7705
20	157	7352
21	158	7031
22	158	6743
23	159	6472
24	159	6225
25	160	6000
26	160	5791
27	161	5596
28	161	5416
29	162	5244
30	162	5085
31	163	4936
32	163	4803
33	164	4685
34	165	4566
35	166	4458
36	167	4349
37	167	4252
38	168	4161
39	169	4065
40	169	3974
41	170	3888
42	171	3810
43	171	3733
44	172	3660
45	173	3591
46	173	3525
47	174	3459
48	174	3396
49	175	3335
50	176	3278
51	176	3224
52	177	3169
53	177	3117
54	178	3066
55	178	3016
56	179	2969
57	180	2923
58	180	2878
59	180	2834
60	181	2792
61	181	2752
62	182	2712
63	182	2675
64	183	2639
65	184	2605
66	184	2571
67	185	2538
68	185	2506
69	186	2477
70	187	2453
71	188	2424
72	188	2395
73	189	2367
74	189	2340
75	190	2315
76	190	2288
77	191	2262
78	191	2237
79	192	2212
80	192	2185
81	193	2161
82	193	2137
83	193	2114
84	194	2091
85	194	2069
86	195	2047
87	195	2026
88	196	2006
89	196	1986
90	196	1967
91	197	1948
92	197	1928
93	198	1910
94	198	1893
95	199	1876
96	199	1860
97	200	1843
98	200	1828
99	201	1813
100	201	1797
101	202	1781
102	202	1767
103	203	1752
104	204	1739
105	204	1724
106	205	1711
107	205	1698
108	206	1685
109	206	1672
110	207	1660
111	207	1647
112	208	1635
113	208	1622
114	209	1611
115	209	1599
116	210	1588
117	210	1576
118	211	1566
119	212	1555
120	212	1543
121	212	1532
122	213	1521
123	213	1510
124	214	1499
125	214	1489
126	215	1479
127	215	1468
128	216	1458
129	216	1449
130	217	1439
131	217	1430
132	217	1420
133	218	1411
134	218	1402
135	219	1393
136	219	1385
137	220	1377
138	221	1369
139	221	1361
140	222	1353
141	222	1345
142	223	1337
143	223	1328
144	223	1320
145	224	1312
146	224	1304
147	225	1297
148	225	1289
149	226	1282
150	226	1275
151	227	1267
152	227	1260
153	228	1253
154	228	1246
155	229	1239
156	229	1232
157	230	1225
158	230	1218
159	231	1212
160	231	1207
161	232	1201
162	232	1195
163	233	1188
164	233	1182
165	234	1176
166	234	1170
167	235	1164
168	235	1158
169	236	1152
170	236	1146
171	236	1140
172	237	1135
173	237	1129
174	238	1123
175	238	1118
176	239	1112
177	239	1106
178	240	1101
179	240	1095
180	241	1091
181	241	1086
182	242	1081
183	242	1076
184	243	1072
185	243	1067
186	244	1062
187	244	1057
188	245	1052
189	245	1047
190	246	1042
191	246	1037
192	247	1033
193	247	1029
194	248	1025
195	248	1021
196	249	1016
197	249	1012
198	250	1007
199	250	1003
200	251	998
201	251	994
202	252	990
203	252	986
204	253	982
205	253	978
206	254	974
207	254	970
208	255	966
209	256	963
210	256	959
211	257	955
212	257	951
213	258	948
214	258	944
215	259	940
216	259	936
217	260	932
218	260	928
219	261	925
220	261	921
